team_id,team_name,city,arena_name,league_id,conference,overall_rating,offense_rating,defense_rating,goaltending_rating,market_size,fan_loyalty
10047,Bentley Falcons,Waltham,Bentley Arena,10,Atlantic Hockey,73,74,72,73,7,6
10048,American International Yellow Jackets,Springfield,MassMutual Center,10,Atlantic Hockey,72,73,71,72,5,5
10049,Ferris State Bulldogs,Big Rapids,Ewigleben Sports Complex,10,CCHA,81,82,80,81,4,7
10050,Bemidji State Beavers,Bemidji,Sanford Center,10,CCHA,79,80,78,79,3,7
10051,Northern Michigan Wildcats,Marquette,Berry Events Center,10,CCHA,78,79,77,78,4,8
10052,Michigan Tech Huskies,Houghton,MacInnes Student Ice Arena,10,CCHA,80,81,79,80,4,8
10053,Lake Superior State Lakers,Sault Ste. Marie,Taffy Abel Arena,10,CCHA,77,78,76,77,4,7
10054,Bowling Green Falcons,Bowling Green,Slater Family Ice Arena,10,CCHA,79,80,78,79,5,7
10055,Minnesota State-Mankato Mavericks,Mankato,Mayo Clinic Health System Event Center,10,CCHA,84,85,83,84,5,8
10056,Augustana Vikings,Sioux Falls,Midco Arena,10,CCHA,75,76,74,75,4,6
10057,St. Thomas Tommies,St. Paul,Schoenecker Arena,10,CCHA,76,77,75,76,8,6
10058,Alaska Anchorage Seawolves,Anchorage,Wells Fargo Sports Complex,10,Independent,70,71,69,70,3,6
