player_id,first_name,last_name,position,jersey_number,team_id,age,height_inches,weight_lbs,shoots,birth_country,draft_year,draft_round,draft_pick,overall_rating,skating,shooting_accuracy,shooting_power,puck_handling,passing,checking,defense,hockey_iq,strength,conditioning
10021,Victor,Hedman,D,77,1026,34,78,229,L,SWE,2009,1,2,94,92,88,90,91,93,89,96,93,94,91
10022,Andrei,Vasilevskiy,G,88,1026,30,76,225,L,RUS,2012,1,19,95,88,0,0,97,0,0,96,94,92,94
10023,Jake,Guentzel,LW,59,1026,30,71,180,L,USA,2013,3,77,92,93,94,91,93,94,84,87,91,86,92
10024,Anthony,Cirelli,C,71,1026,27,73,192,R,CAN,2015,3,72,88,90,86,85,88,90,89,91,89,90,91
10025,Aleksander,Barkov,C,16,1012,29,75,215,L,FIN,2013,1,2,95,91,93,92,94,96,90,92,95,92,93
10026,Matthew,Tkachuk,LW,19,1012,27,73,201,L,USA,2016,1,6,95,92,94,94,93,93,93,88,94,93,93
10027,Sam,Reinhart,C,13,1012,29,73,193,R,CAN,2014,1,2,94,90,96,93,92,94,87,90,93,90,92
10028,Carter,Verhaeghe,LW,23,1012,29,73,182,L,CAN,2013,3,82,90,93,92,90,91,91,86,88,90,87,92
10029,Gustav,Forsling,D,42,1012,28,72,181,L,SWE,2014,5,126,89,91,84,86,88,90,87,92,88,86,90
10030,Sergei,Bobrovsky,G,72,1012,36,74,182,L,RUS,2006,2,61,92,86,0,0,94,0,0,93,91,88,87
10031,Jack,Hughes,C,86,1017,23,70,175,L,USA,2019,1,1,96,99,94,88,97,96,78,80,94,80,96
10032,Jesper,Bratt,LW,63,1017,26,70,175,L,SWE,2016,6,162,92,94,93,90,94,95,82,86,91,84,93
10033,Nico,Hischier,C,13,1017,26,73,179,L,CHE,2017,1,1,91,93,90,88,92,92,87,88,91,86,92
10034,Timo,Meier,RW,28,1017,28,73,220,R,CHE,2015,1,9,90,89,92,93,89,88,91,85,90,93,90
10035,Dougie,Hamilton,D,7,1017,31,78,229,R,CAN,2011,1,9,90,88,89,91,88,90,86,92,90,92,89
10036,Jacob,Markstrom,G,25,1017,35,78,206,L,SWE,2008,2,31,90,86,0,0,92,0,0,91,89,89,86
10037,Artemi,Panarin,LW,10,1019,33,71,170,R,RUS,2015,0,0,96,95,96,92,96,97,80,82,94,84,94
10038,Adam,Fox,D,23,1019,27,71,181,R,USA,2016,1,66,95,94,88,87,93,95,84,97,93,87,94
10039,Alexis,Lafreniere,LW,13,1019,23,73,193,L,CAN,2020,1,1,89,91,88,89,90,89,87,85,88,89,91
10040,Igor,Shesterkin,G,31,1019,29,73,186,L,RUS,2014,4,118,94,87,0,0,96,0,0,95,93,91,92
10041,Mika,Zibanejad,C,93,1019,31,74,206,R,SWE,2011,1,6,91,90,93,92,91,91,87,88,91,90,90
10042,Vincent,Trocheck,C,16,1019,31,70,183,R,USA,2011,3,64,89,91,88,87,90,91,88,89,89,89,90
10043,Sidney,Crosby,C,87,1022,37,71,200,L,CAN,2005,1,1,94,91,93,91,95,97,88,90,95,91,89
10044,Evgeni,Malkin,C,71,1022,38,75,195,L,RUS,2004,1,2,91,88,92,92,91,92,89,88,93,91,86
10045,Erik,Karlsson,D,65,1022,34,72,190,R,SWE,2008,1,15,90,94,87,88,92,93,79,88,90,86,87
10046,Kris,Letang,D,58,1022,37,72,201,R,CAN,2005,3,62,88,90,85,87,89,91,85,91,88,88,84
10047,Jake,Guentzel,RW,59,1022,30,71,180,L,USA,2013,3,77,92,93,94,91,93,94,84,87,91,86,92
10048,Tristan,Jarry,G,35,1022,29,74,194,L,CAN,2013,2,44,84,83,0,0,86,0,0,85,84,85,86
10049,Brad,Marchand,LW,63,1002,36,69,181,L,CAN,2006,3,71,92,93,94,90,93,94,91,90,92,88,88
10050,David,Pastrnak,RW,88,1002,28,72,194,R,CZE,2014,1,25,96,95,97,95,95,94,85,87,94,90,95
10051,Charlie,McAvoy,D,73,1002,27,72,208,R,USA,2016,1,14,93,94,87,89,91,92,90,94,92,92,93
10052,Hampus,Lindholm,C,23,1002,30,73,192,L,SWE,2012,1,6,90,89,89,88,90,91,88,89,91,90,89
10053,Pavel,Zacha,C,18,1002,27,75,210,L,CZE,2015,1,6,87,88,86,87,88,89,87,86,88,91,88
10054,Jeremy,Swayman,G,1,1002,26,75,192,L,USA,2017,4,111,91,86,0,0,93,0,0,92,90,90,91
10055,Sebastian,Aho,C,20,1005,27,72,176,L,FIN,2015,2,35,94,95,94,91,95,96,84,88,93,84,94
10056,Andrei,Svechnikov,RW,37,1005,24,74,195,L,RUS,2018,1,2,92,93,93,94,92,91,90,87,91,93,93
10057,Martin,Necas,C,88,1005,26,75,189,L,CZE,2017,1,12,91,94,91,89,93,92,83,87,90,87,92
10058,Jaccob,Slavin,D,74,1005,30,75,207,L,USA,2012,4,120,92,92,84,85,90,91,88,96,90,91,91
10059,Brent,Burns,D,8,1005,39,77,230,R,CAN,2003,1,20,86,84,86,89,85,86,89,89,87,94,80
10060,Pyotr,Kochetkov,G,52,1005,25,74,181,L,RUS,2019,2,36,87,85,0,0,89,0,0,88,87,87,89
10061,Elias,Pettersson,C,40,1028,26,74,176,L,SWE,2017,1,5,93,94,93,91,95,95,81,84,92,82,93
10062,Quinn,Hughes,D,43,1028,25,70,180,L,USA,2018,1,7,95,98,85,84,95,96,78,94,93,81,95
10063,J.T.,Miller,C,9,1028,31,73,218,L,USA,2011,1,15,91,90,91,91,91,93,89,88,91,92,90
10064,Brock,Boeser,RW,6,1028,27,73,208,R,USA,2015,1,23,89,88,92,93,89,90,85,85,89,91,89
10065,Filip,Hronek,D,17,1028,27,72,181,R,CZE,2016,2,53,88,90,84,86,88,89,87,90,88,86,89
10066,Thatcher,Demko,G,35,1028,29,76,192,L,USA,2014,2,36,90,86,0,0,92,0,0,91,89,89,90
10067,Jack,Eichel,C,9,1029,28,74,213,R,USA,2015,1,2,94,94,94,93,94,94,86,87,94,92,93
10068,Mark,Stone,RW,61,1029,32,76,219,R,CAN,2010,6,178,92,90,91,91,92,93,90,93,92,93,89
10069,Tomas,Hertl,C,48,1029,31,74,215,L,CZE,2012,1,17,90,89,91,91,90,90,88,88,90,92,89
10070,Shea,Theodore,D,27,1029,29,74,197,L,CAN,2013,1,26,91,93,88,89,91,92,86,93,90,89,90
10071,Noah,Hanifin,D,15,1029,27,75,206,L,USA,2015,1,5,89,91,84,86,89,90,88,91,89,90,90
10072,Adin,Hill,G,33,1029,28,76,202,L,CAN,2015,3,76,88,85,0,0,90,0,0,89,88,87,89
10073,Kirill,Kaprizov,LW,97,1014,27,70,201,L,RUS,2015,5,135,96,96,96,94,96,96,84,88,94,90,95
10074,Matt,Boldy,LW,12,1014,23,74,196,L,USA,2019,1,12,91,92,92,90,92,93,85,86,90,89,92
10075,Joel,Eriksson Ek,C,14,1014,27,75,212,L,SWE,2015,1,20,89,88,87,87,89,90,91,92,90,92,90
10076,Jared,Spurgeon,D,46,1014,35,69,168,R,CAN,2008,6,156,87,89,83,84,88,89,87,92,86,84,83
10077,Jonas,Brodin,D,25,1014,31,73,185,L,SWE,2011,1,10,88,90,81,82,87,88,86,93,87,86,87
10078,Filip,Gustavsson,G,32,1014,26,74,191,L,SWE,2016,2,55,88,85,0,0,90,0,0,89,88,88,89
10079,Kyle,Connor,LW,81,1031,28,73,182,L,USA,2015,1,17,93,95,95,92,94,94,82,84,92,86,94
10080,Mark,Scheifele,C,55,1031,31,75,207,R,CAN,2011,1,7,91,90,92,91,91,92,86,87,91,90,89
10081,Nikolaj,Ehlers,LW,27,1031,29,72,172,L,DEN,2014,1,9,90,95,91,89,92,92,82,84,89,84,91
10082,Josh,Morrissey,D,44,1031,29,72,195,L,CAN,2013,1,13,91,91,86,87,90,91,87,93,90,89,90
10083,Neal,Pionk,D,4,1031,29,72,190,R,USA,2017,0,0,86,88,83,85,87,88,85,89,86,87,87
10084,Connor,Hellebuyck,G,37,1031,31,76,207,L,USA,2012,5,130,95,87,0,0,97,0,0,96,94,92,93
10085,Matthew,Tkachuk,LW,19,1012,27,73,201,L,USA,2016,1,6,95,92,94,94,93,93,93,88,94,93,93
10086,Roope,Hintz,C,24,1009,28,75,215,L,FIN,2015,2,49,92,95,91,91,93,92,87,88,92,92,93
10087,Jason,Robertson,LW,21,1009,25,74,201,L,USA,2017,2,39,95,93,96,94,94,96,84,87,93,90,94
10088,Miro,Heiskanen,D,4,1009,25,73,190,L,FIN,2017,1,3,94,95,87,88,93,94,86,95,92,88,94
10089,Jake,Oettinger,G,29,1009,26,77,220,L,USA,2017,1,26,91,86,0,0,93,0,0,92,90,91,92
10090,Tyler,Seguin,C,91,1009,32,73,200,R,CAN,2010,1,2,88,88,90,90,89,89,86,87,89,90,86
10091,Elias,Lindholm,C,28,1002,30,73,192,L,SWE,2013,1,5,89,89,89,88,90,90,87,88,90,90,88
10092,Bo,Horvat,C,14,1018,29,72,215,L,CAN,2013,1,9,89,89,89,90,90,89,89,88,90,92,89
10093,Mathew,Barzal,C,13,1018,27,72,186,R,CAN,2015,1,16,92,97,91,89,94,93,82,86,91,86,93
10094,Noah,Dobson,D,8,1018,25,76,192,R,CAN,2018,1,12,90,91,86,88,90,91,87,92,89,88,91
10095,Ryan,Pulock,D,6,1018,30,73,210,R,CAN,2013,1,15,88,88,85,89,87,88,88,91,89,92,88
10096,Ilya,Sorokin,G,30,1018,29,75,190,L,RUS,2014,3,78,93,86,0,0,95,0,0,94,92,91,92
10097,Sean,Monahan,C,91,1030,30,74,212,L,CAN,2013,1,6,87,86,88,89,88,88,86,86,88,90,86
10098,Tom,Wilson,RW,43,1030,30,76,218,R,CAN,2012,1,16,88,88,88,90,88,88,92,87,89,94,89
10099,Dylan,Strome,C,17,1030,27,75,200,R,CAN,2015,1,3,87,87,87,86,89,90,83,86,87,88,88
10100,John,Carlson,D,74,1030,35,75,218,R,USA,2008,1,27,88,87,86,89,88,89,86,90,88,91,84
